Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,NotWeekend,InOperatingHours,NotHoliday
200,7,250,18.9,1020.1,1,1,1
200,8,250,17.2,1020.0,1,1,1
200,7,250,16.6,1020.1,1,1,1
210,5,60,15.8,1020.2,1,1,1
200,2,60,15.8,1020.5,1,0,1
340,5,5,14.6,1019.8,1,0,1
350,3,10,13.2,1018.9,1,0,1
320,4,10,13.4,1019.0,1,0,1
330,5,20,13.2,1019.2,1,1,1
340,7,20,13.5,1019.3,1,1,1
350,7,20,13.9,1019.5,1,1,1
330,4,20,16.0,1019.7,1,1,1
340,7,20,16.4,1019.7,1,1,1
330,6,20,17.7,1019.5,1,1,1
320,8,30,19.4,1019.3,1,1,1
330,7,30,20.1,1019.2,1,1,1
350,6,30,20.0,1018.8,1,1,1
310,4,30,20.6,1018.6,1,1,1
310,5,30,19.6,1018.4,1,1,1
330,9,30,19.1,1018.3,1,1,1
350,8,30,18.6,1018.5,1,1,1
360,7,30,18.3,1018.7,1,1,1
340,7,20,17.9,1019.4,1,0,1
20,8,250,12.6,1019.4,1,0,1
30,4,60,11.9,1019.4,1,0,1
360,4,60,12.5,1020.1,1,0,1
20,6,100,13.1,1020.3,1,0,1
20,7,100,13.1,1020.8,1,1,1
20,5,100,13.7,1021.4,1,1,1
20,6,100,15.2,1021.7,1,1,1
50,6,250,17.0,1022.0,1,1,1
40,8,250,17.9,1022.1,1,1,1
10,9,100,17.9,1022.5,1,1,1
30,6,250,19.3,1022.2,1,1,1
40,6,250,20.4,1022.1,1,1,1
50,6,250,20.8,1021.9,1,1,1
190,10,250,18.7,1021.7,1,1,1
200,8,250,18.1,1021.7,1,1,1
210,7,250,17.1,1022.0,1,1,1
210,6,250,15.8,1022.1,1,1,1
220,5,250,13.9,1022.6,1,1,1
40,4,250,13.0,1023.4,1,0,1
50,3,250,10.7,1023.4,1,0,1
70,5,250,10.6,1022.9,1,0,1
90,6,250,10.7,1022.9,1,0,1
100,6,250,10.8,1023.2,1,1,1
110,5,250,11.9,1023.5,1,1,1
110,5,250,15.1,1023.5,1,1,1
80,3,30,17.1,1023.8,1,1,1
140,7,250,17.9,1023.8,1,1,1
170,6,250,18.6,1023.5,1,1,1
200,10,250,18.3,1023.3,1,1,1
200,10,250,18.5,1022.8,1,1,1
220,9,250,18.5,1022.7,1,1,1
220,6,250,18.3,1022.3,1,1,1
210,6,250,18.0,1021.6,1,1,1
210,6,250,15.9,1021.3,1,1,1
200,6,250,15.4,1021.1,1,1,1
250,1,250,12.0,1021.4,1,0,1
60,2,250,10.0,1021.1,1,0,1
40,2,250,9.0,1020.7,1,0,1
330,1,250,7.6,1020.1,1,0,1
30,1,250,7.5,1020.2,1,1,1
50,2,250,8.7,1020.4,1,1,1
320,1,250,10.2,1020.7,1,1,1
260,2,250,12.3,1021.0,1,1,1
240,2,250,15.1,1021.1,1,1,1
220,3,250,17.7,1020.8,1,1,1
200,5,250,18.8,1020.4,1,1,1
210,9,250,18.3,1020.2,1,1,1
220,10,250,18.3,1019.9,1,1,1
220,8,250,18.3,1019.5,1,1,1
210,8,250,17.7,1019.1,1,1,1
210,7,250,16.9,1019.0,1,1,1
220,5,250,16.0,1018.7,1,1,1
210,3,250,13.6,1018.5,1,1,1
230,3,250,12.7,1018.7,1,0,1
320,1,250,11.9,1018.6,1,0,1
70,5,250,8.8,1016.7,0,0,1
40,2,250,8.0,1016.4,0,0,1
50,6,0,6.9,1015.8,0,1,1
40,6,250,7.8,1015.7,0,1,1
80,4,0,10.7,1015.7,0,1,1
80,5,250,14.6,1015.5,0,1,1
80,3,250,16.7,1015.2,0,1,1
100,4,250,17.8,1014.8,0,1,1
110,6,250,21.6,1012.4,0,1,1
120,8,250,21.6,1011.4,0,1,1
110,10,250,16.9,1010.2,0,1,1
