Wind_Direction,Wind_Speed,Cloud_Base_Height,Temperature,Pressure,Humidity,NotWeekend,InOperatingHours,NotHoliday
190,19,150,10.7,1003.1,77.4,1,1,1
200,21,30,10.1,1002.2,83.1,1,1,1
200,20,60,10.0,1001.6,80.5,1,1,1
210,20,60,9.0,1001.3,87.8,1,1,1
190,24,100,8.6,1000.7,89.0,1,1,1
190,25,60,8.4,1000.2,90.2,1,0,1
190,25,30,8.4,999.7,91.7,1,0,1
180,24,30,8.6,999.0,93.0,1,0,1
190,23,20,8.6,998.3,95.8,1,0,1
180,25,10,8.7,997.6,97.2,1,0,1
190,22,10,9.1,997.0,98.6,1,0,1
190,28,10,9.2,996.2,98.6,1,0,1
190,30,10,9.4,995.5,98.6,1,0,1
190,29,5,9.7,994.6,98.7,1,0,1
200,23,0,9.9,994.2,100.0,1,0,1
200,16,0,10.2,994.4,98.7,1,1,1
310,15,0,9.9,995.4,97.4,1,1,1
320,12,20,10.2,996.8,92.2,1,1,1
310,12,30,11.1,997.9,81.4,1,1,1
300,10,60,11.1,999.1,72.9,1,1,1
320,15,60,12.3,1000.1,66.2,1,1,1
310,15,100,12.5,1001.4,61.9,1,1,1
300,15,100,12.3,1002.7,61.6,1,1,1
290,14,100,12.8,1003.6,59.1,1,1,1
300,15,100,12.8,1004.5,54.8,1,1,1
310,12,100,12.5,1005.4,56.4,1,1,1
300,12,100,12.1,1006.2,59.1,1,1,1
310,13,100,11.1,1007.2,61.0,1,1,1
300,9,100,10.5,1008.0,64.9,1,1,1
310,11,250,9.3,1008.8,72.2,1,0,1
310,17,250,8.9,1008.9,79.6,1,0,1
280,5,250,7.9,1010.3,84.3,1,0,1
300,7,250,8.0,1010.6,88.6,1,0,1
260,1,250,6.9,1011.2,89.5,1,0,1
250,2,250,6.5,1011.3,93.9,1,0,1
270,1,250,6.2,1011.8,93.8,1,0,1
300,5,250,7.0,1012.0,95.6,1,0,1
280,4,250,6.5,1012.4,93.9,1,0,1
270,4,250,6.3,1012.6,93.8,1,0,1
340,1,250,7.0,1013.4,97.0,1,1,1
50,1,250,8.7,1014.1,93.1,1,1,1
270,2,250,10.1,1014.4,81.7,1,1,1
220,4,60,12.3,1015.0,76.2,1,1,1
200,7,100,13.6,1015.3,72.8,1,1,1
200,10,250,13.0,1014.9,73.4,1,1,1
220,12,100,13.1,1015.3,67.9,1,1,1
210,11,250,13.7,1015.2,74.0,1,1,1
200,11,100,13.8,1015.3,73.0,1,1,1
220,12,100,13.3,1015.0,72.5,1,1,1
220,13,250,12.9,1015.1,73.3,1,1,1
220,11,100,11.6,1015.0,84.0,1,1,1
240,13,250,11.2,1015.3,82.5,1,1,1
250,14,150,10.6,1015.2,84.6,1,1,1
260,9,150,10.5,1015.7,84.6,1,0,1
250,7,100,9.9,1016.0,88.0,1,0,1
270,5,150,10.1,1016.4,92.1,1,0,1
230,5,60,10.1,1016.2,94.7,1,0,1
230,7,60,10.1,1016.1,96.0,1,0,1
230,8,30,10.3,1016.1,96.0,1,0,1
220,5,5,10.2,1016.2,97.3,1,0,1
220,5,0,10.3,1016.1,97.4,1,0,1
190,4,0,10.3,1016.1,97.4,1,0,1
210,4,0,10.4,1016.2,98.7,1,1,1
210,4,0,10.6,1016.7,98.7,1,1,1
310,4,200,12.9,1010.1,74.5,1,0,1
200,5,150,22.2,1011.9,57.4,1,1,1
200,7,250,21.1,1012.1,57.7,1,1,1
200,10,250,20.6,1011.9,58.7,1,1,1
200,9,250,20.0,1011.9,60.5,1,1,1
210,9,150,19.3,1012.0,62.3,1,1,1
200,8,100,18.1,1012.1,61.8,1,1,1
360,4,150,19.2,1012.6,57.9,1,1,1
20,8,250,18.1,1013.1,58.2,1,0,1
30,6,250,16.4,1013.9,67.4,1,0,1
30,3,250,14.9,1014.3,70.9,1,0,1
